epocas;erro
0;0.28641221560436464
500;0.1537064957409543
1000;0.03160975212050176
1500;0.010403198209178479
2000;0.005838163856770052
2500;0.003982609936314277
3000;0.002997228225653189
3500;0.0023920292097540643
4000;0.0019847481808167155
4500;0.0016929061761672554
5000;0.0014739965409342947
5500;0.0013039786703157247
6000;0.001168271074783274
6500;0.0010575335063080756
7000;0.0009655151146668062
7500;0.0008878794525343407
8000;0.0008215264025734871
8500;0.0007641824808048202
9000;0.0007141435070573528
9500;0.0006701075215975707
